tag,page,page_width,page_height,text,x0,x1,top,doctop,bottom,upright,direction
,0,612.12,1008.12,Règlement,312.53,381.0212,28.98840000000007,28.98840000000007,43.02840000000003,True,1
,0,612.12,1008.12,1314-2021-C-1,384.50312,476.38624,28.98840000000007,28.98840000000007,43.02840000000003,True,1
,0,612.12,1008.12,amendant,262.85,311.90072000000004,57.39840000000004,57.39840000000004,68.4384,True,1
,0,612.12,1008.12,le,316.84664000000004,325.38056,57.39840000000004,57.39840000000004,68.4384,True,1
,0,612.12,1008.12,Règlement,330.31,383.54488,57.376319999999964,57.376319999999964,68.41632000000004,True,1
,0,612.12,1008.12,de,388.51,400.78648,57.376319999999964,57.376319999999964,68.41632000000004,True,1
,0,612.12,1008.12,construction,405.66616,464.95095999999995,57.376319999999964,57.376319999999964,68.41632000000004,True,1
,0,612.12,1008.12,numéro,469.95207999999997,507.15687999999994,57.376319999999964,57.376319999999964,68.41632000000004,True,1
,0,612.12,1008.12,1314-,512.26,540.41632,57.376319999999964,57.376319999999964,68.41632000000004,True,1
,0,612.12,1008.12,2021-C,262.85,299.02088000000003,69.97631999999999,69.97631999999999,81.01632000000006,True,1
,0,612.12,1008.12,afin,305.21,323.00647999999995,69.99840000000006,69.99840000000006,81.03840000000002,True,1
,0,612.12,1008.12,de,329.19991999999996,341.47639999999996,69.99840000000006,69.99840000000006,81.03840000000002,True,1
,0,612.12,1008.12,"corriger,",347.66983999999997,387.92168,69.99840000000006,69.99840000000006,81.03840000000002,True,1
,0,612.12,1008.12,"d’ajouter,",394.19239999999996,439.47848,69.99840000000006,69.99840000000006,81.03840000000002,True,1
,0,612.12,1008.12,de,445.63879999999995,457.91527999999994,69.99840000000006,69.99840000000006,81.03840000000002,True,1
,0,612.12,1008.12,modifier,464.10871999999995,503.19031999999993,69.99840000000006,69.99840000000006,81.03840000000002,True,1
,0,612.12,1008.12,ou,509.31751999999994,521.5939999999999,69.99840000000006,69.99840000000006,81.03840000000002,True,1
,0,612.12,1008.12,de,527.78744,540.0639199999999,69.99840000000006,69.99840000000006,81.03840000000002,True,1
,0,612.12,1008.12,préciser,262.85,302.06408,82.61840000000007,82.61840000000007,93.65840000000003,True,1
,0,612.12,1008.12,certaines,312.99368000000004,357.6284,82.61840000000007,82.61840000000007,93.65840000000003,True,1
,0,612.12,1008.12,dispositions,368.65736,426.01016,82.61840000000007,82.61840000000007,93.65840000000003,True,1
,0,612.12,1008.12,afin,437.03912,454.8356,82.61840000000007,82.61840000000007,93.65840000000003,True,1
,0,612.12,1008.12,de,465.71000000000004,477.98648000000003,82.61840000000007,82.61840000000007,93.65840000000003,True,1
,0,612.12,1008.12,rendre,488.86088000000007,520.64504,82.61840000000007,82.61840000000007,93.65840000000003,True,1
,0,612.12,1008.12,le,531.6850400000001,540.21896,82.61840000000007,82.61840000000007,93.65840000000003,True,1
,0,612.12,1008.12,règlement,262.85,311.87864,95.33840000000009,95.33840000000009,106.37840000000006,True,1
,0,612.12,1008.12,davantage,314.91464,366.2948,95.33840000000009,95.33840000000009,106.37840000000006,True,1
,0,612.12,1008.12,performant.,369.36392,425.49127999999996,95.33840000000009,95.33840000000009,106.37840000000006,True,1
,0,612.12,1008.12,Séance,121.1,158.45936,133.97840000000008,133.97840000000008,145.01840000000004,True,1
,0,612.12,1008.12,ordinaire,162.6104,205.3352,133.97840000000008,133.97840000000008,145.01840000000004,True,1
,0,612.12,1008.12,du,209.50831999999997,221.78479999999996,133.97840000000008,133.97840000000008,145.01840000000004,True,1
,0,612.12,1008.12,conseil,225.81439999999998,259.95007999999996,133.97840000000008,133.97840000000008,145.01840000000004,True,1
,0,612.12,1008.12,"municipal,",264.07903999999996,313.5713599999999,133.97840000000008,133.97840000000008,145.01840000000004,True,1
,0,612.12,1008.12,tenue,317.68927999999994,345.44984,133.97840000000008,133.97840000000008,145.01840000000004,True,1
,0,612.12,1008.12,publiquement,349.47944,415.44344,133.97840000000008,133.97840000000008,145.01840000000004,True,1
,0,612.12,1008.12,le,419.66071999999997,428.19464,133.97840000000008,133.97840000000008,145.01840000000004,True,1
,0,612.12,1008.12,20,432.31,444.58648,133.97840000000008,133.97840000000008,145.01840000000004,True,1
,0,612.12,1008.12,février,448.61608,479.17479999999995,133.97840000000008,133.97840000000008,145.01840000000004,True,1
,0,612.12,1008.12,2023,483.22,507.71836,133.97840000000008,133.97840000000008,145.01840000000004,True,1
,0,612.12,1008.12,à,511.9,518.03824,133.97840000000008,133.97840000000008,145.01840000000004,True,1
,0,612.12,1008.12,19h,522.1,540.3601600000001,133.97840000000008,133.97840000000008,145.01840000000004,True,1
,0,612.12,1008.12,dans,121.1,145.0016,146.6984,146.6984,157.73839999999996,True,1
,0,612.12,1008.12,la,148.68896,157.22287999999998,146.6984,146.6984,157.73839999999996,True,1
,0,612.12,1008.12,salle,160.91024,183.48703999999998,146.6984,146.6984,157.73839999999996,True,1
,0,612.12,1008.12,du,187.1744,199.45087999999998,146.6984,146.6984,157.73839999999996,True,1
,0,612.12,1008.12,conseil,203.12719999999996,237.38431999999997,146.6984,146.6984,157.73839999999996,True,1
,0,612.12,1008.12,municipal,240.91711999999995,287.3955199999999,146.6984,146.6984,157.73839999999996,True,1
,0,612.12,1008.12,située,291.04975999999994,320.4603199999999,146.6984,146.6984,157.73839999999996,True,1
,0,612.12,1008.12,au,324.1476799999999,336.4241599999999,146.6984,146.6984,157.73839999999996,True,1
,0,612.12,1008.12,"1386,",340.10047999999995,367.5459199999999,146.6984,146.6984,157.73839999999996,True,1
,0,612.12,1008.12,rue,371.28847999999994,387.2743999999999,146.6984,146.6984,157.73839999999996,True,1
,0,612.12,1008.12,"Dumouchel,",390.8292799999999,449.5731199999999,146.6984,146.6984,157.73839999999996,True,1
,0,612.12,1008.12,"Sainte-Adèle,",453.2163199999999,519.42592,146.6984,146.6984,157.73839999999996,True,1
,0,612.12,1008.12,lieu,523.16848,540.23632,146.6984,146.6984,157.73839999999996,True,1
,0,612.12,1008.12,ordinaire,121.1,163.94624,159.29840000000002,159.29840000000002,170.33839999999998,True,1
,0,612.12,1008.12,des,169.79744,187.5608,159.29840000000002,159.29840000000002,170.33839999999998,True,1
,0,612.12,1008.12,séances,193.31264,234.35935999999995,159.29840000000002,159.29840000000002,170.33839999999998,True,1
,0,612.12,1008.12,à,239.98975999999993,246.12799999999993,159.29840000000002,159.29840000000002,170.33839999999998,True,1
