tag,page,page_width,page_height,r,g,b,text,x0,x1,top,doctop,bottom,upright,direction
,1,603.84,995.16,0,0,0,RÈGLEMENT,283.63,369.99004,67.22627999999997,67.22627999999997,81.26628000000005,True,1
,1,603.84,995.16,0,0,0,NUMÉRO,373.4158,434.6302,67.22627999999997,67.22627999999997,81.26628000000005,True,1
,1,603.84,995.16,0,0,0,1226,438.1,468.58696000000003,67.22627999999997,67.22627999999997,81.26628000000005,True,1
,1,603.84,995.16,0,0,0,décrétant,232.37,278.27432,95.54527999999993,95.54527999999993,106.5852799999999,True,1
,1,603.84,995.16,0,0,0,un,283.82743999999997,296.10392,95.54527999999993,95.54527999999993,106.5852799999999,True,1
,1,603.84,995.16,0,0,0,emprunt,301.57975999999996,341.8316,95.54527999999993,95.54527999999993,106.5852799999999,True,1
,1,603.84,995.16,0,0,0,afin,347.47,365.22232,95.54527999999993,95.54527999999993,106.5852799999999,True,1
,1,603.84,995.16,0,0,0,de,370.7092,382.98568,95.54527999999993,95.54527999999993,106.5852799999999,True,1
,1,603.84,995.16,0,0,0,financer,388.34008,427.53208,95.54527999999993,95.54527999999993,106.5852799999999,True,1
,1,603.84,995.16,0,0,0,une,433.07416,451.45576,95.54527999999993,95.54527999999993,106.5852799999999,True,1
,1,603.84,995.16,0,0,0,partie,456.94264,484.18935999999997,95.54527999999993,95.54527999999993,106.5852799999999,True,1
,1,603.84,995.16,0,0,0,de,489.82,502.09648,95.54527999999993,95.54527999999993,106.5852799999999,True,1
,1,603.84,995.16,0,0,0,la,507.57232,516.10624,95.54527999999993,95.54527999999993,106.5852799999999,True,1
,1,603.84,995.16,0,0,0,subvention,232.37,285.56072,108.26527999999996,108.26527999999996,119.30527999999993,True,1
,1,603.84,995.16,0,0,0,du,291.158,303.43448,108.26527999999996,108.26527999999996,119.30527999999993,True,1
,1,603.84,995.16,0,0,0,ministère,309.03175999999996,353.76583999999997,108.26527999999996,108.26527999999996,119.30527999999993,True,1
,1,603.84,995.16,0,0,0,des,359.28584,377.0491999999999,108.26527999999996,108.26527999999996,119.30527999999993,True,1
,1,603.84,995.16,0,0,0,Affaires,382.6796,419.99479999999994,108.26527999999996,108.26527999999996,119.30527999999993,True,1
,1,603.84,995.16,0,0,0,municipales,425.48168,483.7,108.26527999999996,108.26527999999996,119.30527999999993,True,1
