tag,page,page_width,page_height,r,g,b,text,x0,x1,top,doctop,bottom,upright,direction
,1,612,1008,0,0,0,COMPILATION,241.37,318.17528000000004,198.1784,198.1784,209.21839999999997,True,1
,1,612,1008,0,0,0,ADMINISTRATIVE,321.23336,413.8810399999999,198.1784,198.1784,209.21839999999997,True,1
,1,612,1008,0,0,0,Mise,108.02,131.07152,249.1784,249.1784,260.2184,True,1
,1,612,1008,0,0,0,en,134.14064,146.41712,249.1784,249.1784,260.2184,True,1
,1,612,1008,0,0,0,garde,149.51936,177.83695999999998,249.1784,249.1784,260.2184,True,1
,1,612,1008,0,0,0,Le,108.02,120.29647999999999,274.61840000000007,274.61840000000007,285.65840000000003,True,1
,1,612,1008,0,0,0,lecteur,125.65088,158.72671999999997,274.61840000000007,274.61840000000007,285.65840000000003,True,1
,1,612,1008,0,0,0,est,164.14735999999996,178.87471999999997,274.61840000000007,274.61840000000007,285.65840000000003,True,1
,1,612,1008,0,0,0,par,184.29535999999996,200.21503999999996,274.61840000000007,274.61840000000007,285.65840000000003,True,1
,1,612,1008,0,0,0,les,205.63567999999995,219.68959999999996,274.61840000000007,274.61840000000007,285.65840000000003,True,1
,1,612,1008,0,0,0,présentes,225.05503999999993,273.53167999999994,274.61840000000007,274.61840000000007,285.65840000000003,True,1
,1,612,1008,0,0,0,avisé,278.91919999999993,304.48783999999995,274.61840000000007,274.61840000000007,285.65840000000003,True,1
,1,612,1008,0,0,0,que,309.85328,328.35632,274.61840000000007,274.61840000000007,285.65840000000003,True,1
,1,612,1008,0,0,0,toute,333.71072,358.31888,274.61840000000007,274.61840000000007,285.65840000000003,True,1
,1,612,1008,0,0,0,erreur,363.68431999999996,393.1500799999999,274.61840000000007,274.61840000000007,285.65840000000003,True,1
,1,612,1008,0,0,0,ou,398.5707199999999,410.8471999999999,274.61840000000007,274.61840000000007,285.65840000000003,True,1
,1,612,1008,0,0,0,omission,416.20159999999987,459.67711999999983,274.61840000000007,274.61840000000007,285.65840000000003,True,1
,1,612,1008,0,0,0,qui,465.03151999999983,479.8471999999998,274.61840000000007,274.61840000000007,285.65840000000003,True,1
,1,612,1008,0,0,0,pourrait,485.1684799999998,522.5499199999998,274.61840000000007,274.61840000000007,285.65840000000003,True,1
,1,612,1008,0,0,0,être,527.8601599999997,546.9483199999997,274.61840000000007,274.61840000000007,285.65840000000003,True,1
,1,612,1008,0,0,0,relevée,108.02,144.04352,287.36840000000007,287.36840000000007,298.40840000000003,True,1
,1,612,1008,0,0,0,dans,147.96272,171.86432,287.36840000000007,287.36840000000007,298.40840000000003,True,1
,1,612,1008,0,0,0,le,175.79456,184.32847999999998,287.36840000000007,287.36840000000007,298.40840000000003,True,1
,1,612,1008,0,0,0,texte,188.13727999999998,212.0168,287.36840000000007,287.36840000000007,298.40840000000003,True,1
,1,612,1008,0,0,0,ci-après,215.8256,255.18104,287.36840000000007,287.36840000000007,298.40840000000003,True,1
,1,612,1008,0,0,0,n'a,258.98984,273.39704,287.36840000000007,287.36840000000007,298.40840000000003,True,1
,1,612,1008,0,0,0,pas,277.20584,294.9692,287.36840000000007,287.36840000000007,298.40840000000003,True,1
,1,612,1008,0,0,0,pour,298.80008,320.85799999999995,287.36840000000007,287.36840000000007,298.40840000000003,True,1
,1,612,1008,0,0,0,effet,324.71096,346.49287999999996,287.36840000000007,287.36840000000007,298.40840000000003,True,1
,1,612,1008,0,0,0,de,350.35688,362.63336,287.36840000000007,287.36840000000007,298.40840000000003,True,1
,1,612,1008,0,0,0,diminuer,366.43111999999996,408.63703999999996,287.36840000000007,287.36840000000007,298.40840000000003,True,1
,1,612,1008,0,0,0,le,412.49,421.02392,287.36840000000007,287.36840000000007,298.40840000000003,True,1
,1,612,1008,0,0,0,caractère,424.83272,470.8916,287.36840000000007,287.36840000000007,298.40840000000003,True,1
,1,612,1008,0,0,0,exécutoire,474.72248,525.4843999999998,287.36840000000007,287.36840000000007,298.40840000000003,True,1
,1,612,1008,0,0,0,des,529.2931999999998,547.0565599999999,287.36840000000007,287.36840000000007,298.40840000000003,True,1
,1,612,1008,0,0,0,règlements,108.02,162.71216,300.0884,300.0884,311.12839999999994,True,1
,1,612,1008,0,0,0,et,166.66447999999997,175.87183999999996,300.0884,300.0884,311.12839999999994,True,1
,1,612,1008,0,0,0,"amendements,",179.85727999999997,252.87583999999998,300.0884,300.0884,311.12839999999994,True,1
