tag,text,page,page_width,page_height,fontname,rgb,x0,x1,top,bottom,doctop,mcid,mctag,tagstack
B-Tableau,RÈGLEMENT,1,612,1008,Arial-BoldMT,#000,316,402,115,129,115,3,P,Document;Table;TBody;TR;TD;P
I-Tableau,1306,1,612,1008,Arial-BoldMT,#000,406,436,115,129,115,3,P,Document;Table;TBody;TR;TD;P
I-Tableau,Concernant,1,612,1008,ArialMT,#000,234,291,143,154,143,5,P,Document;Table;TBody;TR;TD;P
I-Tableau,la,1,612,1008,ArialMT,#000,296,304,143,154,143,5,P,Document;Table;TBody;TR;TD;P
I-Tableau,protection,1,612,1008,ArialMT,#000,310,358,143,154,143,5,P,Document;Table;TBody;TR;TD;P
I-Tableau,et,1,612,1008,ArialMT,#000,363,373,143,154,143,5,P,Document;Table;TBody;TR;TD;P
I-Tableau,l’accès,1,612,1008,ArialMT,#000,378,412,143,154,143,5,P,Document;Table;TBody;TR;TD;P
I-Tableau,aux,1,612,1008,ArialMT,#000,417,435,143,154,143,5,P,Document;Table;TBody;TR;TD;P
I-Tableau,plans,1,612,1008,ArialMT,#000,440,466,143,154,143,5,P,Document;Table;TBody;TR;TD;P
I-Tableau,d’eau,1,612,1008,ArialMT,#000,472,498,143,154,143,5,P,Document;Table;TBody;TR;TD;P
I-Tableau,du,1,612,1008,ArialMT,#000,504,516,143,154,143,5,P,Document;Table;TBody;TR;TD;P
I-Tableau,territoire,1,612,1008,ArialMT,#000,232,273,156,167,156,5,P,Document;Table;TBody;TR;TD;P
I-Tableau,de,1,612,1008,ArialMT,#000,276,288,156,167,156,5,P,Document;Table;TBody;TR;TD;P
I-Tableau,la,1,612,1008,ArialMT,#000,291,300,156,167,156,5,P,Document;Table;TBody;TR;TD;P
I-Tableau,Ville,1,612,1008,ArialMT,#000,303,323,156,167,156,5,P,Document;Table;TBody;TR;TD;P
I-Tableau,de,1,612,1008,ArialMT,#000,327,339,156,167,156,5,P,Document;Table;TBody;TR;TD;P
I-Tableau,Sainte-Adèle,1,612,1008,ArialMT,#000,342,405,156,167,156,5,P,Document;Table;TBody;TR;TD;P
B-Alinea,Séance,1,612,1008,ArialMT,#000,106,144,195,206,195,8,P,Document;P
I-Alinea,ordinaire,1,612,1008,ArialMT,#000,148,191,195,206,195,8,P,Document;P
I-Alinea,du,1,612,1008,ArialMT,#000,196,208,195,206,195,8,P,Document;P
I-Alinea,conseil,1,612,1008,ArialMT,#000,212,247,195,206,195,8,P,Document;P
I-Alinea,"municipal,",1,612,1008,ArialMT,#000,251,301,195,206,195,8,P,Document;P
I-Alinea,tenue,1,612,1008,ArialMT,#000,305,333,195,206,195,8,P,Document;P
I-Alinea,exclusivement,1,612,1008,ArialMT,#000,337,407,195,206,195,8,P,Document;P
I-Alinea,par,1,612,1008,ArialMT,#000,412,427,195,206,195,8,P,Document;P
I-Alinea,vidéoconférence,1,612,1008,ArialMT,#000,432,513,195,206,195,8,P,Document;P
I-Alinea,le,1,612,1008,ArialMT,#000,517,526,195,206,195,8,P,Document;P
I-Alinea,21,1,612,1008,ArialMT,#000,106,119,207,218,207,8,P,Document;P
I-Alinea,juin,1,612,1008,ArialMT,#000,122,139,207,218,207,8,P,Document;P
I-Alinea,2021,1,612,1008,ArialMT,#000,143,167,207,218,207,8,P,Document;P
I-Alinea,à,1,612,1008,ArialMT,#000,170,177,207,218,207,8,P,Document;P
I-Alinea,"19h,",1,612,1008,ArialMT,#000,180,201,207,218,207,8,P,Document;P
I-Alinea,à,1,612,1008,ArialMT,#000,205,211,207,218,207,8,P,Document;P
I-Alinea,laquelle,1,612,1008,ArialMT,#000,214,252,207,218,207,8,P,Document;P
