tag,text,x0,x1,top,doctop,bottom,upright,direction
B-Titre,Règlement,85.104,202.59648,533.37652,533.37652,559.41652,True,1
I-Titre,sur,208.25,242.57072,533.37652,533.37652,559.41652,True,1
I-Titre,les,247.62248,277.75076,533.37652,533.37652,559.41652,True,1
I-Titre,dérogations,283.27124,412.63796,533.37652,533.37652,559.41652,True,1
I-Titre,mineures,418.41883999999993,519.21968,533.37652,533.37652,559.41652,True,1
I-Titre,Numéro,85.104,125.868,561.826,561.826,573.826,True,1
I-Titre,1314-2021-DM,128.06,207.398,561.826,561.826,573.826,True,1
B-TOC,Table,85.104,142.88676,77.20652000000007,1085.32652,103.24652000000005,True,1
I-TOC,des,148.45932,187.10268,77.20652000000007,1085.32652,103.24652000000005,True,1
I-TOC,matières,192.75336,286.73171999999994,77.20652000000007,1085.32652,103.24652000000005,True,1
I-TOC,CHAPITRE,85.104,135.372,117.01999999999998,1125.14,129.01999999999998,True,1
I-TOC,1,138.108,143.58,117.01999999999998,1125.14,129.01999999999998,True,1
I-TOC,DISPOSITIONS,159.98,229.988,117.01999999999998,1125.14,129.01999999999998,True,1
I-TOC,"DÉCLARATOIRES,",232.748,320.192,117.01999999999998,1125.14,129.01999999999998,True,1
I-TOC,INTERPRÉTATIVES,322.96399999999994,414.0919999999999,117.01999999999998,1125.14,129.01999999999998,True,1
I-TOC,ET,416.852,429.476,117.01999999999998,1125.14,129.01999999999998,True,1
I-TOC,ADMINISTRATIVES,432.212,522.2839999999999,117.01999999999998,1125.14,129.01999999999998,True,1
I-TOC,..................................................................................................................................,160.1,518.956,131.89999999999998,1140.02,143.89999999999998,True,1
I-TOC,3,521.62,527.092,131.89999999999998,1140.02,143.89999999999998,True,1
I-TOC,SECTION,85.104,121.458,151.39160000000004,1159.5116,161.35159999999996,True,1
I-TOC,1,123.72888,128.27064,151.39160000000004,1159.5116,161.35159999999996,True,1
I-TOC,DISPOSITIONS,159.98,218.21612,151.39160000000004,1159.5116,161.35159999999996,True,1
I-TOC,DÉCLARATOIRES,220.42724,290.98388,151.39160000000004,1159.5116,161.35159999999996,True,1
I-TOC,.....................................................................................................,291.89,522.21088,151.39160000000004,1159.5116,161.35159999999996,True,1
I-TOC,4,522.58,527.12176,151.39160000000004,1159.5116,161.35159999999996,True,1
I-TOC,1.,85.104,91.93484,168.79160000000002,1176.9116,178.75159999999994,True,1
I-TOC,Titre,113.42,129.82412,168.79160000000002,1176.9116,178.75159999999994,True,1
I-TOC,du,132.095,141.21836000000002,168.79160000000002,1176.9116,178.75159999999994,True,1
I-TOC,règlement,143.48924,179.95280000000002,168.79160000000002,1176.9116,178.75159999999994,True,1
I-TOC,......................................................................................................................................................,180.14,522.2108800000001,168.79160000000002,1176.9116,178.75159999999994,True,1
I-TOC,4,522.58,527.12176,168.79160000000002,1176.9116,178.75159999999994,True,1
I-TOC,2.,85.104,91.93484,186.1916000000001,1194.3116,196.15160000000003,True,1
I-TOC,Abrogation,113.42,152.97116,186.1916000000001,1194.3116,196.15160000000003,True,1
I-TOC,.................................................................................................................................................................,155.06,522.2108800000001,186.1916000000001,1194.3116,196.15160000000003,True,1
I-TOC,4,522.58,527.12176,186.1916000000001,1194.3116,196.15160000000003,True,1
I-TOC,3.,85.104,91.93484,203.59160000000008,1211.7116,213.5516,True,1
I-TOC,Portée,113.42,137.48336,203.59160000000008,1211.7116,213.5516,True,1
I-TOC,du,139.79408,148.87760000000003,203.59160000000008,1211.7116,213.5516,True,1
I-TOC,règlement,151.18832,187.63196,203.59160000000008,1211.7116,213.5516,True,1
I-TOC,et,189.90284000000003,196.74536000000003,203.59160000000008,1211.7116,213.5516,True,1
I-TOC,territoire,199.01624000000004,229.09544000000008,203.59160000000008,1211.7116,213.5516,True,1
I-TOC,assujetti,231.3663200000001,261.3857600000001,203.59160000000008,1211.7116,213.5516,True,1
I-TOC,..................................................................................................................,262.25,522.2108800000001,203.59160000000008,1211.7116,213.5516,True,1
I-TOC,4,522.58,527.12176,203.59160000000008,1211.7116,213.5516,True,1
I-TOC,4.,85.104,91.93484,220.9916000000001,1229.1116000000002,230.9516,True,1
I-TOC,Domaine,113.42,146.12864000000002,220.9916000000001,1229.1116000000002,230.9516,True,1
